"species" "no_complete" "no_incomplete" "prop_complete" "prop_incomplete"
"Motacilla_tschutschensis" 0 0 0 0
"Myadestes_townsendi" 370 46 0.00021311829505364 2.64957880336957e-05
"Mycteria_americana" 5 1 2.87997696018432e-06 5.75995392036864e-07
"Myiarchus_cinerascens" 340 50 0.000195838433292534 2.87997696018432e-05
"Myiarchus_crinitus" 80635 4334 0.0464453884368925 0.00249636402908777
"Myioborus_pictus" 22 5 1.2671898624811e-05 2.87997696018432e-06
"Myiopsitta_monachus" 7236 1048 0.00416790265677875 0.000603643170854633
"Numenius_americanus" 0 0 0 0
"Numenius_phaeopus" 1718 257 0.000989560083519332 0.000148030815753474
"Nyctanassa_violacea" 11915 703 0.00686298509611923 0.000404924760601915
"Nycticorax_nycticorax" 33730 2593 0.0194283245734034 0.00149355605155159
"Oceanites_oceanicus" 656 112 0.000377852977176183 6.45114839081287e-05
"Oceanodroma_castro" 32 1 1.84318525451796e-05 5.75995392036864e-07
"Oceanodroma_leucorhoa" 82 11 4.72316221470228e-05 6.3359493124055e-06
"Oenanthe_oenanthe" 141 49 8.12153502771978e-05 2.82237742098063e-05
"Onychoprion_anaethetus" 71 12 4.08956728346173e-05 6.91194470444236e-06
"Onychoprion_fuscatus" 31 9 1.78558571531428e-05 5.18395852833177e-06
"Oporornis_agilis" 597 82 0.000343869249046008 4.72316221470228e-05
"Oreoscoptes_montanus" 230 25 0.000132478940168479 1.43998848009216e-05
"Oxyura_jamaicensis" 49157 2654 0.0283142054863561 0.00152869177046584
"Pagophila_eburnea" 15 8 8.63993088055296e-06 4.60796313629491e-06
"Pandion_haliaetus" 130631 13185 0.0752428540571675 0.00759449924400605
"Parkesia_motacilla" 13460 1114 0.00775289797681619 0.000641658866729066
"Parkesia_noveboracensis" 37222 2078 0.0214397004823961 0.0011969184246526
"Passer_domesticus" 462777 27353 0.266557419540644 0.0157552019583843
"Passerculus_sandwichensis" 50143 2890 0.0288821369429045 0.00166462668298654
"Passerella_iliaca" 29475 2238 0.0169774641802866 0.0012890776873785
"Passerina_amoena" 0 0 0 0
"Passerina_caerulea" 1749 190 0.00100741594067247 0.000109439124487004
"Passerina_ciris" 673 127 0.000387644898840809 7.31514147886817e-05
"Passerina_cyanea" 58518 3932 0.0337060983512132 0.00226481388148895
"Patagioenas_fasciata" 0 0 0 0
"Pelagodroma_marina" 10 4 5.75995392036864e-06 2.30398156814745e-06
"Pelecanus_erythrorhynchos" 1704 343 0.000981496148030816 0.000197566419468644
"Pelecanus_occidentalis" 284 131 0.000163582691338469 7.54553963568291e-05
"Perdix_perdix" 1 0 5.75995392036864e-07 0
"Perisoreus_canadensis" 2516 262 0.00144920440636475 0.000150910792713658
"Petrochelidon_fulva" 286 64 0.000164734682122543 3.68637050903593e-05
"Petrochelidon_pyrrhonota" 7884 787 0.00454114767081863 0.000453308373533012
"Peucaea_aestivalis" 0 0 0 0
"Peucaea_cassinii" 0 0 0 0
"Phaethon_aethereus" 0 0 0 0
"Phaethon_lepturus" 2 0 1.15199078407373e-06 0
"Phalacrocorax_auritus" 222877 12438 0.128376124991 0.00716423068615451
"Phalacrocorax_brasilianus" 66 23 3.8015695874433e-05 1.32478940168479e-05
"Phalacrocorax_carbo" 9547 542 0.00549902800777594 0.00031218950248398
"Phalaropus_fulicarius" 345 83 0.000198718410252718 4.78076175390597e-05
"Phalaropus_lobatus" 715 159 0.000411836705306358 9.15832673338613e-05
"Phalaropus_tricolor" 906 118 0.000521851825185399 6.79674562603499e-05
"Phasianus_colchicus" 8370 1598 0.00482108143134855 0.000920440636474908
"Pheucticus_ludovicianus" 93785 6871 0.0540197278421773 0.00395766433868529
"Pheucticus_melanocephalus" 0 0 0 0
"Pica_hudsonia" 0 0 0 0
"Picoides_arcticus" 1185 142 0.000682554539563683 8.17913456692346e-05
"Picoides_dorsalis" 6 0 3.45597235222118e-06 0
"Pinicola_enucleator" 793 248 0.000456764345885233 0.000142846857225142
"Pipilo_chlorurus" 14 3 8.06393548851609e-06 1.72798617611059e-06
"Pipilo_erythrophthalmus" 126070 6427 0.0726157390740874 0.00370192238462092
"Pipilo_maculatus" 1 0 5.75995392036864e-07 0
"Piranga_ludoviciana" 635 154 0.000365757073943408 8.8703290373677e-05
"Piranga_olivacea" 64183 4090 0.036969112247102 0.00235582115343077
"Piranga_rubra" 1367 205 0.000787385700914393 0.000118079055367557
"Platalea_ajaja" 3 2 1.72798617611059e-06 1.15199078407373e-06
"Plectrophenax_nivalis" 13627 2107 0.00784908920728634 0.00121362229102167
"Plegadis_chihi" 307 65 0.000176830585355317 3.74397004823961e-05
"Plegadis_falcinellus" 13331 833 0.00767859457124343 0.000479804161566707
"Pluvialis_dominica" 2966 386 0.00170840233278134 0.000222334221326229
"Pluvialis_squatarola" 20789 1424 0.0119743682050544 0.000820217438260494
"Podiceps_auritus" 29734 1871 0.0171266469868241 0.00107768737850097
"Podiceps_grisegena" 7834 667 0.00451234790121679 0.000384188926488588
"Podiceps_nigricollis" 728 91 0.000419324645402837 5.24155806753546e-05
"Podilymbus_podiceps" 46928 2948 0.0270303117575059 0.00169803441572467
"Poecile_atricapillus" 661083 32194 0.380780761753906 0.0185435956512348
"Poecile_hudsonicus" 1155 291 0.000665274677802578 0.000167614659082727
"Polioptila_caerulea" 54227 2531 0.031234502123983 0.0014578443372453
"Pooecetes_gramineus" 4532 587 0.00261041111671107 0.000338109295125639
"Porphyrio_martinica" 174 45 0.000100223198214414 2.59197926416589e-05
"Porzana_carolina" 3185 313 0.00183454532363741 0.000180286557707538
"Progne_subis" 26348 2135 0.0151763265893873 0.0012297501619987
"Protonotaria_citrea" 2373 348 0.00136683706530348 0.000200446396428829
"Pterodroma_arminjoniana" 1 0 5.75995392036864e-07 0
"Pterodroma_feae" 1 2 5.75995392036864e-07 1.15199078407373e-06
"Pterodroma_hasitata" 14 2 8.06393548851609e-06 1.15199078407373e-06
"Pterodroma_inexpectata" 0 0 0 0
"Puffinus_lherminieri" 48 3 2.76477788177695e-05 1.72798617611059e-06
"Puffinus_puffinus" 204 42 0.00011750305997552 2.41918064655483e-05
"Quiscalus_major" 13867 841 0.00798732810137519 0.000484412124703002
"Quiscalus_quiscula" 416315 22769 0.239795521635827 0.0131148390812873
"Rallus_crepitans" 7387 270 0.00425487796097631 0.000155518755849953
"Rallus_elegans" 1 1 5.75995392036864e-07 5.75995392036864e-07
"Rallus_limicola" 9883 766 0.00569256245950032 0.000441212470300238
